name,code,side,title,rank_in_party,begin_date,end_date,memberId,congress
Committee on Education and Labor,HSED,null,null,16.0,2009-01-09,2011-01-03,M001177,111
Committee on Natural Resources,HSII,null,null,19.0,2009-01-09,2011-01-03,M001177,111
Committee on Natural Resources,HSII,majority,Member,21.0,,2023-01-03,M001143,117
Committee on Appropriations,HSAP,majority,Member,7.0,,2023-01-03,M001143,117
Committee on Appropriations,HSAP,majority,Member,10.0,2019-01-15,2021-01-03,M001143,116
Committee on Appropriations,HSAP,minority,Member,10.0,,2019-01-03,M001143,115
Committee on Appropriations,HSAP,null,null,13.0,,2017-01-03,M001143,114
Committee on Appropriations,HSAP,null,null,16.0,2013-01-03,2015-01-03,M001143,113
Committee on the Budget,HSBU,null,null,6.0,2011-01-25,2013-01-03,M001143,112
Committee on Appropriations,HSAP,null,null,21.0,2011-01-11,2013-01-03,M001143,112
Committee on the Budget,HSBU,null,null,12.0,2009-01-21,2011-01-03,M001143,111
Committee on Appropriations,HSAP,null,null,28.0,2009-01-07,2011-01-03,M001143,111
Committee on Oversight and Reform,HSGO,null,null,17.0,2007-01-12,2009-01-03,M001143,110
Committee on Appropriations,HSAP,null,null,31.0,2007-01-04,2009-01-03,M001143,110
Committee on Natural Resources,HSII,majority,Member,16.0,,2023-01-03,M001200,117
Committee on Energy and Commerce,HSIF,majority,Member,24.0,,2023-01-03,M001200,117
Select Committee on the Climate Crisis,HSCN,majority,Member,7.0,,2023-01-03,M001200,117
Committee on Natural Resources,HSII,majority,Member,18.0,2019-01-24,2021-01-03,M001200,116
Committee on Energy and Commerce,HSIF,majority,Member,28.0,2019-01-15,2021-01-03,M001200,116
Select Committee on the Climate Crisis,HSCN,majority,Member,6.0,,2021-01-03,M001200,116
Committee on Armed Services,HSAS,minority,Member,21.0,,2019-01-03,M001200,115
Committee on Natural Resources,HSII,minority,Member,15.0,,2019-01-03,M001200,115
Committee on Agriculture,HSAG,majority,Member,3.0,,2023-01-03,M000312,117
Committee on Rules,HSRU,majority,Chair,1.0,,2023-01-03,M000312,117
Committee on Agriculture,HSAG,majority,Member,5.0,2019-01-17,2021-01-03,M000312,116
Committee on Rules,HSRU,majority,Chair,1.0,2019-01-03,2021-01-03,M000312,116
Committee on Agriculture,HSAG,minority,Member,6.0,,2019-01-03,M000312,115
Committee on Rules,HSRU,minority,Member,2.0,,2019-01-03,M000312,115
Committee on Agriculture,HSAG,null,null,6.0,,2017-01-03,M000312,114
Committee on Rules,HSRU,null,null,2.0,,2017-01-03,M000312,114
Committee on Rules,HSRU,null,null,2.0,2013-01-03,2015-01-03,M000312,113
Committee on Agriculture,HSAG,null,null,8.0,2013-01-03,2015-01-03,M000312,113
Committee on Agriculture,HSAG,null,null,19.0,2011-01-19,2013-01-03,M000312,112
Committee on Rules,HSRU,null,null,2.0,2011-01-05,2013-01-03,M000312,112
Committee on the Budget,HSBU,null,null,9.0,2009-01-21,2011-01-03,M000312,111
Committee on Rules,HSRU,null,null,2.0,2009-01-06,2011-01-03,M000312,111
Committee on the Budget,HSBU,null,null,14.0,2007-01-18,2009-01-03,M000312,110
Committee on Rules,HSRU,null,null,2.0,2007-01-12,2009-01-03,M000312,110
Committee on Financial Services,HSBA,minority,Ranking Member,1.0,,2023-01-03,M001156,117
Committee on Financial Services,HSBA,minority,Ranking Member,1.0,2019-01-03,2021-01-03,M001156,116
Committee on Financial Services,HSBA,majority,Member,5.0,,2019-01-03,M001156,115
Committee on Financial Services,HSBA,null,null,7.0,,2017-01-03,M001156,114
Committee on Financial Services,HSBA,null,null,10.0,2013-01-04,2015-01-03,M001156,113
Committee on Oversight and Reform,HSGO,null,null,5.0,2013-01-04,2015-01-03,M001156,113
Committee on Oversight and Reform,HSGO,null,null,6.0,2011-01-18,2013-01-03,M001156,112
Committee on Financial Services,HSBA,null,null,14.0,2011-01-12,2013-01-03,M001156,112
Committee on the Budget,HSBU,null,null,7.0,2009-01-09,2011-01-03,M001156,111
Committee on Financial Services,HSBA,null,null,18.0,2009-01-09,2011-01-03,M001156,111
Committee on Oversight and Reform,HSGO,null,null,8.0,2009-01-09,2011-01-03,M001156,111
Committee on the Budget,HSBU,null,null,10.0,2007-01-18,2009-01-03,M001156,110
Committee on Financial Services,HSBA,null,null,28.0,2007-01-10,2009-01-03,M001156,110
Committee on Oversight and Reform,HSGO,null,null,14.0,2007-01-10,2009-01-03,M001156,110
Committee on Energy and Commerce,HSIF,minority,Member,7.0,,2023-01-03,M001180,117
Committee on Energy and Commerce,HSIF,minority,Member,10.0,2019-01-23,2021-01-03,M001180,116
Committee on Energy and Commerce,HSIF,majority,Member,14.0,,2019-01-03,M001180,115
Committee on Energy and Commerce,HSIF,null,null,17.0,,2017-01-03,M001180,114
Committee on Energy and Commerce,HSIF,null,null,22.0,2013-01-04,2015-01-03,M001180,113
Committee on Energy and Commerce,HSIF,null,null,27.0,2011-01-12,2013-01-03,M001180,112
Committee on Energy and Commerce,HSIF,minority,Ranking Member,1.0,,2023-01-03,M001159,117
Committee on Energy and Commerce,HSIF,minority,Member,7.0,2019-01-23,2021-01-03,M001159,116
Committee on Energy and Commerce,HSIF,majority,Member,9.0,,2019-01-03,M001159,115
Committee on Energy and Commerce,HSIF,null,null,12.0,,2017-01-03,M001159,114
Committee on Energy and Commerce,HSIF,null,null,16.0,2013-01-04,2015-01-03,M001159,113
Committee on Energy and Commerce,HSIF,null,null,21.0,2011-01-12,2013-01-03,M001159,112
Committee on Armed Services,HSAS,null,null,15.0,2009-01-09,2011-01-03,M001159,111
Committee on Education and Labor,HSED,null,null,11.0,2009-01-09,2011-01-03,M001159,111
Committee on Natural Resources,HSII,null,null,7.0,2009-01-09,2011-01-03,M001159,111
Committee on Armed Services,HSAS,null,null,23.0,2007-01-10,2009-01-03,M001159,110
Committee on Education and Labor,HSED,null,null,12.0,2007-01-10,2009-01-03,M001159,110
Committee on Natural Resources,HSII,null,null,14.0,2007-01-10,2009-01-03,M001159,110
Committee on Energy and Commerce,HSIF,majority,Member,11.0,,2023-01-03,M001166,117
"Committee on Science, Space, and Technology",HSSY,majority,Member,10.0,,2023-01-03,M001166,117
"Committee on Science, Space, and Technology",HSSY,majority,Member,12.0,2019-01-23,2021-01-03,M001166,116
Committee on Energy and Commerce,HSIF,majority,Member,12.0,2019-01-15,2021-01-03,M001166,116
Committee on Energy and Commerce,HSIF,minority,Member,13.0,,2019-01-03,M001166,115
"Committee on Science, Space, and Technology",HSSY,minority,Member,10.0,,2019-01-03,M001166,115
Committee on Energy and Commerce,HSIF,null,null,14.0,,2017-01-03,M001166,114
Committee on Veterans' Affairs,HSVR,null,null,10.0,,2017-01-03,M001166,114
Committee on Energy and Commerce,HSIF,null,null,20.0,2013-01-03,2015-01-03,M001166,113
"Committee on Science, Space, and Technology",HSSY,null,null,10.0,2011-01-19,2013-01-03,M001166,112
Committee on Veterans' Affairs,HSVR,null,null,7.0,2011-01-19,2013-01-03,M001166,112
Committee on Veterans' Affairs,HSVR,null,null,13.0,2009-01-21,2011-01-03,M001166,111
Committee on Energy and Commerce,HSIF,null,null,33.0,2009-01-07,2011-01-03,M001166,111
Committee on Energy (Ad Hoc),HHAH,null,null,9.0,2007-03-09,2009-01-03,M001166,110
"Committee on Science, Space, and Technology",HSSY,null,null,12.0,2007-01-18,2009-01-03,M001166,110
Committee on Veterans' Affairs,HSVR,null,null,14.0,2007-01-12,2009-01-03,M001166,110
Committee on Transportation and Infrastructure,HSPW,null,null,41.0,2007-01-10,2009-01-03,M001166,110
Committee on Financial Services,HSBA,majority,Member,5.0,,2023-01-03,M001137,117
Committee on Foreign Affairs,HSFA,majority,Chair,1.0,,2023-01-03,M001137,117
Committee on Financial Services,HSBA,majority,Member,5.0,2019-01-17,2021-01-03,M001137,116
Committee on Foreign Affairs,HSFA,majority,Member,3.0,2019-01-17,2021-01-03,M001137,116
Committee on Financial Services,HSBA,minority,Member,5.0,,2019-01-03,M001137,115
Committee on Foreign Affairs,HSFA,minority,Member,3.0,,2019-01-03,M001137,115
Committee on Financial Services,HSBA,null,null,5.0,,2017-01-03,M001137,114
Committee on Foreign Affairs,HSFA,null,null,3.0,,2017-01-03,M001137,114
Committee on Financial Services,HSBA,null,null,5.0,2013-01-03,2015-01-03,M001137,113
Committee on Foreign Affairs,HSFA,null,null,4.0,2013-01-03,2015-01-03,M001137,113
Committee on Financial Services,HSBA,null,null,9.0,2011-01-19,2013-01-03,M001137,112
Committee on Foreign Affairs,HSFA,null,null,7.0,2011-01-19,2013-01-03,M001137,112
Committee on Foreign Affairs,HSFA,null,null,9.0,2009-01-21,2011-01-03,M001137,111
Committee on Financial Services,HSBA,null,null,10.0,2009-01-07,2011-01-03,M001137,111
Committee on Financial Services,HSBA,null,null,11.0,2007-01-12,2009-01-03,M001137,110
Committee on Foreign Affairs,HSFA,null,null,10.0,2007-01-12,2009-01-03,M001137,110
"Committee on Science, Space, and Technology",HSSY,minority,Member,18.0,,2023-01-03,M001186,117
Committee on Foreign Affairs,HSFA,minority,Member,21.0,,2023-01-03,M001186,117
Committee on Homeland Security,HSHM,minority,Member,13.0,,2023-01-03,M001186,117
Committee on Appropriations,HSAP,majority,Member,16.0,,2023-01-03,M001188,117
Committee on Ethics,HSSO,majority,Member,2.0,2019-02-13,2021-01-03,M001188,116
Committee on Appropriations,HSAP,majority,Member,19.0,2019-01-15,2021-01-03,M001188,116
Committee on Appropriations,HSAP,minority,Member,19.0,,2019-01-03,M001188,115
Committee on Foreign Affairs,HSFA,null,null,14.0,,2017-01-03,M001188,114
Committee on Small Business,HSSM,null,null,5.0,,2017-01-03,M001188,114
Committee on Foreign Affairs,HSFA,null,null,19.0,2013-01-03,2015-01-03,M001188,113
Committee on Small Business,HSSM,null,null,7.0,2013-01-03,2015-01-03,M001188,113
Committee on Small Business,HSSM,minority,Member,5.0,,2023-01-03,M001204,117
Committee on Foreign Affairs,HSFA,minority,Member,17.0,,2023-01-03,M001204,117
Committee on the Budget,HSBU,minority,Member,11.0,2019-01-24,2021-01-03,M001204,116
Committee on Education and Labor,HSED,minority,Member,18.0,2019-01-23,2021-01-03,M001204,116
Committee on Veterans' Affairs,HSVR,minority,Member,9.0,2019-01-23,2021-01-03,M001204,116
Committee on Oversight and Reform,HSGO,majority,Member,9.0,,2023-01-03,M000687,117
Committee on Small Business,HSSM,majority,Member,5.0,,2023-01-03,M000687,117
Committee on Education and Labor,HSED,majority,Member,29.0,,2023-01-03,M000687,117
Committee on Education and Labor,HSED,minority,Member,18.0,,2023-01-03,M001211,117
Committee on Agriculture,HSAG,minority,Member,20.0,,2023-01-03,M001211,117
Committee on Ways and Means,HSWM,minority,Member,18.0,,2023-01-03,M001205,117
Select Committee on the Climate Crisis,HSCN,minority,Member,5.0,,2023-01-03,M001205,117
Committee on Oversight and Reform,HSGO,minority,Member,14.0,2019-01-23,2021-01-03,M001205,116
Committee on Transportation and Infrastructure,HSPW,minority,Member,29.0,2019-01-23,2021-01-03,M001205,116
Select Committee on the Climate Crisis,HSCN,minority,Member,5.0,,2021-01-03,M001205,116
Committee on Veterans' Affairs,HSVR,minority,Member,13.0,,2023-01-03,M001215,117
Committee on Homeland Security,HSHM,minority,Member,8.0,,2023-01-03,M001215,117
Committee on Education and Labor,HSED,minority,Member,13.0,,2023-01-03,M001215,117
Committee on Appropriations,HSAP,minority,Member,20.0,,2023-01-03,M001194,117
Committee on Appropriations,HSAP,minority,Member,21.0,2019-01-23,2021-01-03,M001194,116
Committee on Appropriations,HSAP,majority,Member,28.0,,2019-01-03,M001194,115
Committee on Agriculture,HSAG,null,null,24.0,,2017-01-03,M001194,114
Committee on the Budget,HSBU,null,null,19.0,,2017-01-03,M001194,114
"Committee on Science, Space, and Technology",HSSY,null,null,13.0,,2017-01-03,M001194,114
Committee on Financial Services,HSBA,minority,Member,14.0,,2023-01-03,M001195,117
Committee on Financial Services,HSBA,minority,Member,15.0,2019-01-23,2021-01-03,M001195,116
Committee on Financial Services,HSBA,majority,Member,28.0,,2019-01-03,M001195,115
Committee on the Budget,HSBU,null,null,16.0,,2017-01-03,M001195,114
Committee on Natural Resources,HSII,null,null,24.0,,2017-01-03,M001195,114
Committee on Natural Resources,HSII,minority,Member,18.0,,2023-01-03,M001213,117
Committee on Armed Services,HSAS,minority,Member,27.0,,2023-01-03,M001213,117
Committee on Ways and Means,HSWM,majority,Member,14.0,,2023-01-03,M001160,117
"Committee on Science, Space, and Technology",HSSY,majority,Member,19.0,,2023-01-03,M001160,117
Committee on Ways and Means,HSWM,majority,Member,15.0,2019-01-15,2021-01-03,M001160,116
Committee on Financial Services,HSBA,minority,Member,12.0,,2019-01-03,M001160,115
Committee on Financial Services,HSBA,null,null,13.0,,2017-01-03,M001160,114
Committee on the Budget,HSBU,null,null,5.0,,2017-01-03,M001160,114
Committee on Financial Services,HSBA,null,null,14.0,2013-01-03,2015-01-03,M001160,113
Committee on the Budget,HSBU,null,null,5.0,2013-01-03,2015-01-03,M001160,113
Committee on the Budget,HSBU,null,null,12.0,2011-01-25,2013-01-03,M001160,112
Committee on Financial Services,HSBA,null,null,20.0,2011-01-19,2013-01-03,M001160,112
Committee on the Budget,HSBU,null,null,22.0,2009-01-21,2011-01-03,M001160,111
Committee on Financial Services,HSBA,null,null,23.0,2009-01-07,2011-01-03,M001160,111
Committee on the Budget,HSBU,null,null,1.0,2007-03-19,2009-01-03,M001160,110
Committee on Small Business,HSSM,null,null,10.0,2007-01-23,2009-01-03,M001160,110
Committee on Small Business,HSSM,null,null,12.0,2007-01-23,2009-01-03,M001160,110
Committee on Financial Services,HSBA,null,null,24.0,2007-01-12,2009-01-03,M001160,110
Committee on Veterans' Affairs,HSVR,minority,Member,8.0,,2023-01-03,M001212,117
Committee on Agriculture,HSAG,minority,Member,21.0,,2023-01-03,M001212,117
Committee on Rules,HSRU,majority,Member,7.0,,2023-01-03,M001206,117
Committee on Armed Services,HSAS,majority,Member,24.0,,2023-01-03,M001206,117
Committee on the Budget,HSBU,majority,Member,9.0,,2023-01-03,M001206,117
Committee on Education and Labor,HSED,majority,Member,12.0,,2023-01-03,M001206,117
Committee on the Budget,HSBU,majority,Member,13.0,2019-01-24,2021-01-03,M001206,116
Committee on Education and Labor,HSED,majority,Member,14.0,2019-01-15,2021-01-03,M001206,116
Committee on Rules,HSRU,majority,Member,7.0,2019-01-04,2021-01-03,M001206,116
Committee on Armed Services,HSAS,majority,Member,10.0,,2023-01-03,M001196,117
Committee on the Budget,HSBU,majority,Member,20.0,,2023-01-03,M001196,117
Committee on Transportation and Infrastructure,HSPW,majority,Member,30.0,,2023-01-03,M001196,117
Committee on the Budget,HSBU,majority,Member,2.0,2019-01-24,2021-01-03,M001196,116
Committee on Armed Services,HSAS,majority,Member,12.0,2019-01-15,2021-01-03,M001196,116
Committee on Armed Services,HSAS,minority,Member,17.0,,2019-01-03,M001196,115
Committee on the Budget,HSBU,minority,Member,4.0,,2019-01-03,M001196,115
Committee on Armed Services,HSAS,null,null,26.0,,2017-01-03,M001196,114
Committee on the Budget,HSBU,null,null,14.0,,2017-01-03,M001196,114
Committee on Small Business,HSSM,null,null,10.0,,2017-01-03,M001196,114
Committee on Veterans' Affairs,HSVR,majority,Member,7.0,,2023-01-03,M001214,117
Committee on Education and Labor,HSED,majority,Member,22.0,,2023-01-03,M001214,117
Committee on Energy and Commerce,HSIF,minority,Member,14.0,,2023-01-03,M001190,117
Committee on Energy and Commerce,HSIF,minority,Member,19.0,2019-01-23,2021-01-03,M001190,116
Committee on Energy and Commerce,HSIF,majority,Member,23.0,,2019-01-03,M001190,115
Committee on Energy and Commerce,HSIF,null,null,28.0,,2017-01-03,M001190,114
Committee on Transportation and Infrastructure,HSPW,null,null,27.0,2013-01-04,2015-01-03,M001190,113
Committee on Natural Resources,HSII,null,null,21.0,2013-01-04,2015-01-03,M001190,113
Committee on Veterans' Affairs,HSVR,minority,Member,6.0,,2023-01-03,M001210,117
Committee on Education and Labor,HSED,minority,Member,12.0,,2023-01-03,M001210,117
Committee on Education and Labor,HSED,minority,Member,21.0,2019-09-26,2021-01-03,M001210,116
"Committee on Science, Space, and Technology",HSSY,minority,Member,17.0,2019-09-26,2021-01-03,M001210,116
Committee on Ways and Means,HSWM,majority,Member,22.0,,2023-01-03,M001202,117
Committee on Armed Services,HSAS,majority,Member,30.0,,2023-01-03,M001202,117
Committee on Ways and Means,HSWM,majority,Member,23.0,2019-01-15,2021-01-03,M001202,116
Committee on Armed Services,HSAS,minority,Member,24.0,,2019-01-03,M001202,115
Committee on Small Business,HSSM,minority,Member,3.0,,2019-01-03,M001202,115
Committee on the Judiciary,HSJU,majority,Chair,1.0,,2023-01-03,N000002,117
Committee on the Judiciary,HSJU,majority,Chair,1.0,2019-01-04,2021-01-03,N000002,116
Committee on the Judiciary,HSJU,minority,Ranking Member,1.0,,2019-01-03,N000002,115
Committee on Transportation and Infrastructure,HSPW,minority,Member,3.0,,2018-01-22,N000002,115
Select Investigative Panel of the Committee on Energy and Commerce,,null,null,2.0,,2017-01-03,N000002,114
Committee on the Judiciary,HSJU,null,null,2.0,,2017-01-03,N000002,114
Committee on Transportation and Infrastructure,HSPW,null,null,3.0,,2017-01-03,N000002,114
Committee on the Judiciary,HSJU,null,null,2.0,2013-01-03,2015-01-03,N000002,113
Committee on Transportation and Infrastructure,HSPW,null,null,4.0,2013-01-03,2015-01-03,N000002,113
Committee on the Judiciary,HSJU,null,null,3.0,2011-01-19,2013-01-03,N000002,112
Committee on Transportation and Infrastructure,HSPW,null,null,5.0,2011-01-19,2013-01-03,N000002,112
Committee on the Judiciary,HSJU,null,null,4.0,2009-01-21,2011-01-03,N000002,111
Committee on Transportation and Infrastructure,HSPW,null,null,6.0,2009-01-07,2011-01-03,N000002,111
Committee on the Judiciary,HSJU,null,null,4.0,2007-01-18,2009-01-03,N000002,110
Committee on Transportation and Infrastructure,HSPW,null,null,6.0,2007-01-10,2009-01-03,N000002,110
Committee on Natural Resources,HSII,majority,Member,2.0,,2023-01-03,N000179,117
Committee on Transportation and Infrastructure,HSPW,majority,Member,5.0,,2023-01-03,N000179,117
Committee on Natural Resources,HSII,majority,Member,2.0,2019-01-24,2021-01-03,N000179,116
Committee on Transportation and Infrastructure,HSPW,majority,Member,6.0,2017-01-17,2021-01-03,N000179,116
Committee on Natural Resources,HSII,minority,Member,2.0,,2019-01-03,N000179,115
Committee on Transportation and Infrastructure,HSPW,minority,Member,7.0,,2019-01-03,N000179,115
Committee on Natural Resources,HSII,null,null,2.0,,2017-01-03,N000179,114
Committee on Transportation and Infrastructure,HSPW,null,null,9.0,,2017-01-03,N000179,114
Committee on Natural Resources,HSII,null,null,5.0,2013-01-03,2015-01-03,N000179,113
Committee on Transportation and Infrastructure,HSPW,null,null,12.0,2013-01-03,2015-01-03,N000179,113
Committee on Natural Resources,HSII,null,null,6.0,2011-01-19,2013-01-03,N000179,112
Committee on Transportation and Infrastructure,HSPW,null,null,17.0,2011-01-19,2013-01-03,N000179,112
Committee on Natural Resources,HSII,null,null,6.0,2009-01-21,2011-01-03,N000179,111
Committee on Transportation and Infrastructure,HSPW,null,null,20.0,2009-01-07,2011-01-03,N000179,111
Committee on Natural Resources,HSII,null,null,8.0,2007-01-18,2009-01-03,N000179,110
Committee on Transportation and Infrastructure,HSPW,null,null,25.0,2007-01-10,2009-01-03,N000179,110
Committee on Ways and Means,HSWM,majority,Chair,1.0,,2023-01-03,N000015,117
Committee on Ways and Means,HSWM,majority,Chair,1.0,2019-01-03,2021-01-03,N000015,116
Joint Committee on Taxation,JSTX,minority,Member,4.0,2017-01-03,2019-01-03,N000015,115
Committee on Ways and Means,HSWM,minority,Ranking Member,1.0,,2019-01-03,N000015,115
Committee on Ways and Means,HSWM,null,null,5.0,,2017-01-03,N000015,114
Committee on Ways and Means,HSWM,null,null,5.0,2013-01-03,2015-01-03,N000015,113
Committee on Ways and Means,HSWM,null,null,6.0,2011-01-11,2013-01-03,N000015,112
Committee on Ways and Means,HSWM,null,null,6.0,2009-01-07,2011-01-03,N000015,111
Committee on Ways and Means,HSWM,null,null,6.0,2007-01-04,2009-01-03,N000015,110
Committee on Natural Resources,HSII,majority,Member,8.0,,2023-01-03,N000191,117
Select Committee on the Climate Crisis,HSCN,majority,Member,8.0,,2023-01-03,N000191,117
Committee on the Judiciary,HSJU,majority,Member,18.0,,2023-01-03,N000191,117
Committee on Natural Resources,HSII,majority,Member,9.0,2019-01-24,2021-01-03,N000191,116
Committee on the Judiciary,HSJU,majority,Member,19.0,2019-01-16,2021-01-03,N000191,116
Select Committee on the Climate Crisis,HSCN,majority,Member,9.0,,2021-01-03,N000191,116
Committee on Veterans' Affairs,HSVR,minority,Member,11.0,,2023-01-03,N000026,117
Committee on Transportation and Infrastructure,HSPW,minority,Member,27.0,,2023-01-03,N000026,117
Committee on Appropriations,HSAP,minority,Member,19.0,,2023-01-03,N000189,117
Committee on Appropriations,HSAP,minority,Member,20.0,2019-01-23,2021-01-03,N000189,116
Select Committee on the Modernization of Congress,HSMH,minority,Member,5.0,,2021-01-03,N000189,116
Committee on Appropriations,HSAP,majority,Member,27.0,,2019-01-03,N000189,115
Committee on Rules,HSRU,majority,Member,7.0,,2019-01-03,N000189,115
Committee on Agriculture,HSAG,null,null,25.0,,2017-01-03,N000189,114
Committee on Natural Resources,HSII,null,null,19.0,,2017-01-03,N000189,114
Committee on Rules,HSRU,null,null,9.0,,2017-01-03,N000189,114
Committee on Small Business,HSSM,majority,Member,7.0,,2023-01-03,N000192,117
Committee on Transportation and Infrastructure,HSPW,majority,Member,36.0,,2023-01-03,N000192,117
Committee on Armed Services,HSAS,majority,Member,8.0,,2023-01-03,N000188,117
"Committee on Science, Space, and Technology",HSSY,majority,Member,13.0,,2023-01-03,N000188,117
Committee on Education and Labor,HSED,majority,Member,10.0,,2023-01-03,N000188,117
Committee on Education and Labor,HSED,majority,Member,12.0,2019-01-15,2021-01-03,N000188,116
Committee on Armed Services,HSAS,majority,Member,10.0,2019-01-15,2021-01-03,N000188,116
Committee on Armed Services,HSAS,minority,Member,15.0,,2019-01-03,N000188,115
Committee on Education and Labor,HSED,minority,Member,13.0,,2019-01-03,N000188,115
Committee on Armed Services,HSAS,null,null,21.0,,2017-01-03,N000188,114
Committee on the Budget,HSBU,null,null,13.0,,2017-01-03,N000188,114
Committee on Oversight and Reform,HSGO,minority,Member,10.0,,2023-01-03,N000190,117
Committee on Homeland Security,HSHM,minority,Member,7.0,,2023-01-03,N000190,117
Committee on the Budget,HSBU,minority,Member,8.0,2019-01-24,2021-01-03,N000190,116
"Committee on Science, Space, and Technology",HSSY,minority,Member,8.0,2019-01-23,2021-01-03,N000190,116
Committee on Oversight and Reform,HSGO,minority,Member,12.0,2019-01-23,2021-01-03,N000190,116
Committee on Small Business,HSSM,majority,Member,13.0,2017-06-27,2019-01-03,N000190,115
"Committee on Science, Space, and Technology",HSSY,majority,Member,20.0,2017-06-27,2019-01-03,N000190,115
Committee on Oversight and Reform,HSGO,majority,Member,2.0,,2023-01-03,N000147,117
Committee on Transportation and Infrastructure,HSPW,majority,Member,2.0,,2023-01-03,N000147,117
Committee on Oversight and Reform,HSGO,majority,Member,2.0,2019-01-23,2021-01-03,N000147,116
Committee on Transportation and Infrastructure,HSPW,majority,Member,2.0,2017-01-17,2021-01-03,N000147,116
Committee on Oversight and Reform,HSGO,minority,Member,3.0,,2019-01-03,N000147,115
Committee on Transportation and Infrastructure,HSPW,minority,Member,2.0,,2019-01-03,N000147,115
Committee on Oversight and Reform,HSGO,null,null,3.0,,2017-01-03,N000147,114
Committee on Transportation and Infrastructure,HSPW,null,null,2.0,,2017-01-03,N000147,114
Committee on Oversight and Reform,HSGO,null,null,3.0,2013-01-03,2015-01-03,N000147,113
Committee on Transportation and Infrastructure,HSPW,null,null,3.0,2013-01-03,2015-01-03,N000147,113
Committee on Oversight and Reform,HSGO,null,null,4.0,2011-01-19,2013-01-03,N000147,112
Committee on Transportation and Infrastructure,HSPW,null,null,4.0,2011-01-19,2013-01-03,N000147,112
Committee on Homeland Security,HSHM,null,null,5.0,2009-01-28,2011-01-03,N000147,111
Committee on Oversight and Reform,HSGO,null,null,14.0,2009-01-28,2011-01-03,N000147,111
Committee on Transportation and Infrastructure,HSPW,null,null,5.0,2009-01-07,2011-01-03,N000147,111
Committee on Oversight and Reform,HSGO,null,null,16.0,2007-01-12,2009-01-03,N000147,110
Committee on Homeland Security,HSHM,null,null,8.0,2007-01-12,2009-01-03,N000147,110
Committee on Transportation and Infrastructure,HSPW,null,null,5.0,2007-01-10,2009-01-03,N000147,110
Committee on Ways and Means,HSWM,minority,Member,2.0,,2022-01-03,N000181,117
Permanent Select Committee on Intelligence,HSIG,minority,Ranking Member,1.0,,2022-01-03,N000181,117
Permanent Select Committee on Intelligence,HSIG,minority,Ranking Member,1.0,,2021-01-03,N000181,116
Committee on Ways and Means,HSWM,minority,Member,2.0,,2021-01-03,N000181,116
Joint Committee on Taxation,JSTX,majority,Member,3.0,2017-01-03,2019-01-03,N000181,115
Permanent Select Committee on Intelligence,HSIG,majority,Chair,1.0,,2019-01-03,N000181,115
Committee on Ways and Means,HSWM,majority,Member,3.0,,2019-01-03,N000181,115
Permanent Select Committee on Intelligence,HSIG,null,null,1.0,,2017-01-03,N000181,114
Joint Committee on Taxation,JSTX,null,null,3.0,,2017-01-03,N000181,114
Committee on Ways and Means,HSWM,null,null,3.0,,2017-01-03,N000181,114
Permanent Select Committee on Intelligence,HSIG,null,null,7.0,2013-02-08,2015-01-03,N000181,113
Committee on Ways and Means,HSWM,null,null,5.0,2013-01-04,2015-01-03,N000181,113
Permanent Select Committee on Intelligence,HSIG,null,null,8.0,2011-01-12,2013-01-03,N000181,112
Committee on Ways and Means,HSWM,null,null,6.0,2011-01-05,2013-01-03,N000181,112
Committee on Ways and Means,HSWM,null,null,8.0,2009-01-09,2011-01-03,N000181,111
Committee on the Budget,HSBU,null,null,13.0,2009-01-09,2011-01-03,N000181,111
Committee on Ways and Means,HSWM,null,null,15.0,2007-01-04,2009-01-03,N000181,110
Committee on Agriculture,HSAG,majority,Member,16.0,,2023-01-03,O000171,117
Committee on Energy and Commerce,HSIF,majority,Member,27.0,,2023-01-03,O000171,117
Committee on Agriculture,HSAG,majority,Member,23.0,2019-01-17,2021-01-03,O000171,116
Committee on Energy and Commerce,HSIF,majority,Member,31.0,2019-01-15,2021-01-03,O000171,116
Committee on Agriculture,HSAG,minority,Member,17.0,,2019-01-03,O000171,115
Committee on Armed Services,HSAS,minority,Member,26.0,,2019-01-03,O000171,115
Committee on Natural Resources,HSII,minority,Member,21.0,,2023-01-03,O000019,117
"Committee on Science, Space, and Technology",HSSY,minority,Member,17.0,,2023-01-03,O000019,117
Committee on the Budget,HSBU,minority,Member,13.0,,2023-01-03,O000019,117
Committee on Oversight and Reform,HSGO,majority,Member,10.0,,2023-01-03,O000172,117
Committee on Financial Services,HSBA,majority,Member,26.0,,2023-01-03,O000172,117
Committee on Oversight and Reform,HSGO,majority,Member,20.0,2019-01-23,2021-01-03,O000172,116
Committee on Financial Services,HSBA,majority,Member,26.0,2019-01-17,2021-01-03,O000172,116
Committee on Foreign Affairs,HSFA,majority,Member,15.0,,2023-01-03,O000173,117
Committee on Education and Labor,HSED,majority,Member,17.0,,2023-01-03,O000173,117
Committee on the Budget,HSBU,majority,Member,19.0,2019-01-24,2021-01-03,O000173,116
Committee on Foreign Affairs,HSFA,majority,Member,17.0,2019-01-17,2021-01-03,O000173,116
Committee on Education and Labor,HSED,majority,Member,23.0,2019-01-15,2021-01-03,O000173,116
Committee on the Judiciary,HSJU,minority,Member,19.0,,2023-01-03,O000086,117
Committee on Education and Labor,HSED,minority,Member,14.0,,2023-01-03,O000086,117
